ID,zgrism,e_zgrism,E_zgrism,logMgrism,e_logMgrism,E_logMgrism,logsSFR,e_logsSFR,E_logsSFR,Avmag,e_Avmag,E_Avmag,logS1,e_logS1,E_logS1,tQ,e_tQ,E_tQ,z50,e_z50,E_z50,field,gid,fitting_region_160,fitting_region_125,fitting_region_850,new
GND-17735,1.876,0.013999999999999999,0.009000000000000001,11.08,0.03,0.02,-11.3,0.5,0.4,0.17,0.11,0.26,10.26,0.04,0.04,0.9,0.4,0.2,3.3,0.5,0.3,GND,17735,masked,small,small,yes
GND-19850,1.876,0.006999999999999999,0.006,10.81,0.02,0.03,-12.1,0.4,0.4,0.0,0.0,0.02,10.09,0.03,0.03,1.2,0.3,0.2,4.5,0.7,0.6,GND,19850,masked,masked,masked,yes
GSD-24569,1.901,0.002,0.001,10.83,0.02,0.01,-11.6,0.3,0.3,0.24,0.17,0.31,10.2,0.02,0.02,0.7,0.2,0.1,2.9,0.2,0.1,GSD,24569,masked,small,masked,yes
GSD-24315,1.9880000000000002,0.003,0.004,10.54,0.02,0.02,-11.5,0.7,0.5,0.41,0.25,0.52,9.93,0.03,0.03,0.6,0.3,0.1,2.9,0.3,0.2,GSD,24315,masked,masked,masked,yes
GND-14132,2.017,0.052000000000000005,0.015,11.02,0.02,0.03,-11.3,0.3,0.3,0.0,0.0,0.03,10.18,0.03,0.03,1.0,0.3,0.2,4.5,0.6,0.4,GND,14132,masked,masked,masked,yes
GSD-43572,2.057,0.039,0.034,11.05,0.03,0.04,-11.0,0.2,0.5,0.31,0.2,0.43,9.88,0.05,0.05,1.0,0.3,0.2,5.4,0.9,1.0,GSD,43572,masked,masked,masked,yes
GND-21738,2.092,0.008,0.006999999999999999,11.19,0.06,0.04,-11.9,0.4,0.7,0.07,0.04,0.15,10.36,0.06,0.06,1.0,0.4,0.3,5.8,1.2,1.2,GND,21738,masked,small,small,yes
GND-32933,2.131,0.017,0.019,10.71,0.03,0.03,-10.3,0.3,0.2,0.36,0.26,0.47,9.94,0.04,0.04,1.1,0.4,0.1,4.6,0.9,0.3,GND,32933,masked,small,small,yes
GND-17599,2.14,0.002,0.002,10.88,0.03,0.03,-12.0,0.4,0.7,0.16,0.09,0.27,10.3,0.03,0.03,0.8,0.3,0.3,4.4,0.6,0.9,GND,17599,masked,small,small,yes
GSD-44133,2.184,0.006,0.005,10.61,0.02,0.02,-10.7,0.3,0.5,0.33,0.22,0.38,9.62,0.04,0.04,0.9,0.4,0.1,3.6,0.6,0.1,GSD,44133,masked,small,small,yes
GND-23018,2.302,0.016,0.017,11.24,0.04,0.03,-10.8,0.1,0.1,0.07,0.05,0.09,10.15,0.04,0.04,0.7,0.2,0.1,7.6,1.4,1.0,GND,23018,masked,masked,masked,yes
GSD-48464,2.349,0.012,0.006999999999999999,11.22,0.02,0.02,-10.7,0.2,0.1,0.34,0.3,0.4,10.31,0.03,0.03,0.8,0.2,0.1,4.9,0.5,0.2,GSD,48464,masked,small,masked,yes
